update,avg_reward,ma_reward,invalid_rate,ma_invalid,coop_rate,mutual_coop_rate,mutual_defect_rate,exploit_rate,exploited_rate,kl,use_mapped
1,-2.0,-0.2,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1
2,-2.0,-0.38,1.0,0.19,0.0,0.0,0.0,0.0,0.0,-13.632452011108398,1
3,-1.0,-0.44200000000000006,0.75,0.24600000000000002,0.25,0.25,0.0,0.0,0.0,-17.8649959564209,1
4,-1.5,-0.5478000000000001,0.875,0.3089,0.125,0.125,0.0,0.0,0.0,-18.862735748291016,1
5,-1.5,-0.6430200000000001,0.875,0.36551000000000006,0.125,0.125,0.0,0.0,0.0,-15.477006912231445,1
6,-2.0,-0.7787180000000002,1.0,0.4289590000000001,0.0,0.0,0.0,0.0,0.0,-12.959257125854492,1
7,-0.5,-0.7508462000000002,0.625,0.4485631000000001,0.375,0.375,0.0,0.0,0.0,-8.41012954711914,1
8,-2.0,-0.8757615800000003,1.0,0.5037067900000001,0.0,0.0,0.0,0.0,0.0,-9.124417304992676,1
9,-1.5,-0.9381854220000003,0.875,0.5408361110000001,0.125,0.125,0.0,0.0,0.0,-8.251836776733398,1
10,-1.5,-0.9943668798000004,0.875,0.5742524999,0.125,0.125,0.0,0.0,0.0,8.233528137207031,1
11,-0.5,-0.9449301918200004,0.625,0.5793272499100001,0.375,0.375,0.0,0.0,0.0,33.10319519042969,1
12,-1.5,-1.0004371726380004,0.875,0.6088945249190001,0.125,0.125,0.0,0.0,0.0,34.31714630126953,1
13,-1.5,-1.0503934553742003,0.875,0.6355050724271001,0.125,0.125,0.0,0.0,0.0,35.80175018310547,1
14,-0.5,-0.9953541098367803,0.625,0.6344545651843901,0.375,0.375,0.0,0.0,0.0,40.13460922241211,1
15,-1.0,-0.9958186988531023,0.75,0.6460091086659512,0.25,0.25,0.0,0.0,0.0,35.42760467529297,1
16,-1.0,-0.996236828967792,0.75,0.6564081977993561,0.25,0.25,0.0,0.0,0.0,31.342403411865234,1
17,-2.0,-1.096613146071013,1.0,0.6907673780194205,0.0,0.0,0.0,0.0,0.0,13.324658393859863,1
18,-2.0,-1.1869518314639116,1.0,0.7216906402174784,0.0,0.0,0.0,0.0,0.0,15.919665336608887,1
19,-1.5,-1.2182566483175203,0.875,0.7370215761957306,0.125,0.125,0.0,0.0,0.0,3.8395605087280273,1
20,-2.0,-1.2964309834857684,1.0,0.7633194185761576,0.0,0.0,0.0,0.0,0.0,-8.523870468139648,1
21,-2.0,-1.3667878851371915,1.0,0.7869874767185419,0.0,0.0,0.0,0.0,0.0,-0.10153436660766602,1
22,-1.5,-1.3801090966234724,0.875,0.7957887290466877,0.125,0.125,0.0,0.0,0.0,-14.34174919128418,1
23,1.5,-1.0920981869611253,0.125,0.7287098561420189,0.875,0.875,0.0,0.0,0.0,17.141637802124023,1
24,1.5,-0.8328883682650128,0.125,0.6683388705278169,0.875,0.875,0.0,0.0,0.0,-6.269008159637451,1
25,1.125,-0.6370995314385115,0.25,0.6265049834750352,0.625,0.625,0.0,0.125,0.0,-58.818519592285156,1
26,0.25,-0.5483895782946604,0.5,0.6138544851275318,0.25,0.25,0.0,0.25,0.0,-67.7100830078125,1
27,0.125,-0.48105062046519437,0.5,0.6024690366147787,0.375,0.375,0.0,0.125,0.0,-57.647850036621094,1
28,0.125,-0.4204455584186749,0.5,0.5922221329533008,0.375,0.375,0.0,0.125,0.0,-63.83214569091797,1
