update,avg_reward,ma_reward,invalid_rate,ma_invalid,coop_rate,mutual_coop_rate,mutual_defect_rate,exploit_rate,exploited_rate,kl,use_mapped
1,-2.0,-0.2,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0
2,-1.5,-0.33000000000000007,0.875,0.17750000000000002,0.125,0.125,0.0,0.0,0.0,37.57858657836914,0
3,-0.375,-0.33450000000000013,0.625,0.22225000000000003,0.25,0.25,0.0,0.125,0.0,30.190101623535156,0
4,-1.5,-0.4510500000000002,0.875,0.28752500000000003,0.125,0.125,0.0,0.0,0.0,12.821708679199219,0
5,1.25,-0.28094500000000017,0.25,0.28377250000000004,0.5,0.5,0.0,0.25,0.0,-18.35967445373535,0
6,0.5,-0.20285050000000016,0.375,0.29289525000000005,0.625,0.625,0.0,0.0,0.0,-49.776329040527344,0
7,-0.5,-0.23256545000000017,0.625,0.32610572500000007,0.375,0.375,0.0,0.0,0.0,-71.80133056640625,0
8,0.0,-0.20930890500000016,0.5,0.34349515250000007,0.5,0.5,0.0,0.0,0.0,-124.07424926757812,0
9,-1.0,-0.2883780145000001,0.75,0.38414563725000006,0.25,0.25,0.0,0.0,0.0,-170.16357421875,0
10,-1.0,-0.35954021305000017,0.75,0.42073107352500005,0.25,0.25,0.0,0.0,0.0,-185.5259552001953,0
11,0.0,-0.32358619174500014,0.5,0.42865796617250007,0.5,0.5,0.0,0.0,0.0,-234.01815795898438,0
12,0.25,-0.2662275725705001,0.5,0.4357921695552501,0.25,0.25,0.0,0.25,0.0,-279.4122009277344,0
13,0.5,-0.18960481531345008,0.5,0.44221295259972504,0.0,0.0,0.0,0.5,0.0,-316.41937255859375,0
14,0.125,-0.15814433378210507,0.5,0.44799165733975255,0.375,0.375,0.0,0.125,0.0,-349.1496276855469,0
15,-0.875,-0.22982990040389456,0.75,0.4781924916057773,0.125,0.125,0.0,0.125,0.0,-352.6124267578125,0
16,-1.5,-0.35684691036350513,0.875,0.5178732424451996,0.125,0.125,0.0,0.0,0.0,-365.288818359375,0
17,-1.375,-0.4586622193271546,0.875,0.5535859182006797,0.0,0.0,0.0,0.125,0.0,-358.61474609375,0
18,-2.0,-0.6127959973944392,1.0,0.5982273263806117,0.0,0.0,0.0,0.0,0.0,-378.97784423828125,0
19,-0.5,-0.6015163976549954,0.625,0.6009045937425506,0.375,0.375,0.0,0.0,0.0,-402.95989990234375,0
20,-1.5,-0.6913647578894959,0.875,0.6283141343682955,0.125,0.125,0.0,0.0,0.0,-373.14825439453125,0
21,-0.875,-0.7097282821005464,0.75,0.6404827209314661,0.125,0.125,0.0,0.125,0.0,-384.0428466796875,0
22,-2.0,-0.8387554538904918,1.0,0.6764344488383195,0.0,0.0,0.0,0.0,0.0,-397.3260498046875,0
23,-0.25,-0.7798799085014426,0.625,0.6712910039544876,0.125,0.125,0.0,0.25,0.0,-307.8226318359375,0
24,-0.875,-0.7893919176512983,0.75,0.6791619035590388,0.125,0.125,0.0,0.125,0.0,-347.6224670410156,0
25,-1.5,-0.8604527258861685,0.875,0.6987457132031349,0.125,0.125,0.0,0.0,0.0,-374.56634521484375,0
26,-0.125,-0.7869074532975516,0.625,0.6913711418828214,0.0,0.0,0.0,0.375,0.0,-396.18609619140625,0
27,-2.0,-0.9082167079677965,1.0,0.7222340276945393,0.0,0.0,0.0,0.0,0.0,-380.11865234375,0
28,-1.5,-0.9673950371710169,0.875,0.7375106249250853,0.125,0.125,0.0,0.0,0.0,-401.50238037109375,0
29,-2.0,-1.0706555334539152,1.0,0.7637595624325768,0.0,0.0,0.0,0.0,0.0,-374.03076171875,0
30,-2.0,-1.1635899801085237,1.0,0.7873836061893191,0.0,0.0,0.0,0.0,0.0,-326.3848876953125,0
31,-1.375,-1.1847309820976712,0.875,0.7961452455703872,0.0,0.0,0.0,0.125,0.0,-349.4352111816406,0
32,-0.75,-1.1412578838879042,0.75,0.7915307210133486,0.0,0.0,0.0,0.25,0.0,-344.69891357421875,0
